anno;sharing_veicoli;sharing_veicoli_tipologia;sharing_veicoli_indicatori;sharing_veicoli_valore;note;;
2011;bike sharing;Station Based;Numero di abbonati;12624;;;
2011;bike sharing;Station Based;Numero di biciclette;1834;;;
2011;bike sharing;Station Based;Numero di prelievi totale;1079129;;;
2011;bike sharing;Station Based;Stazioni attive;120;;;
2011;car sharing;Station Based;Aree di sosta;72;;;
2011;car sharing;Station Based;Autovetture totale;134;;;
2011;car sharing;Station Based;Numero di abbonati;1424;;;
2011;car sharing;Station Based;Numero di chilometri percorsi;153041;;;
2011;car sharing;Station Based;Stalli di sosta;80;;;
2012;bike sharing;Station Based;Numero di abbonati;16003;;;
2012;bike sharing;Station Based;Numero di biciclette;2869;;;
2012;bike sharing;Station Based;Numero di prelievi totale;1426946;;;
2012;bike sharing;Station Based;Stazioni attive;164;;;
2012;car sharing;Station Based;Aree di sosta;80;;;
2012;car sharing;Station Based;Autovetture totale;130;;;
2012;car sharing;Station Based;Numero di abbonati;1583;;;
2012;car sharing;Station Based;Numero di chilometri percorsi;201417;;;
2012;car sharing;Station Based;Stalli di sosta;80;;;
2013;bike sharing;Station Based;Numero di abbonati;23510;;;
2013;bike sharing;Station Based;Numero di biciclette;3482;;;
2013;bike sharing;Station Based;Numero di prelievi totale;1894392;;;
2013;bike sharing;Station Based;Stazioni attive;190;;;
2013;car sharing;Free Floating;Autovetture totale;875;;;
2013;car sharing;Free Floating;Noleggi medi giornalieri;2314;12agosto-31dicembre 2013;;
2013;car sharing;Free Floating;Numero di abbonati;72337;;;
2013;car sharing;Station Based;Aree di sosta;80;;;
2013;car sharing;Station Based;Autovetture elettriche;2;;;
2013;car sharing;Station Based;Autovetture totale;129;;;
2013;car sharing;Station Based;Numero di abbonati;5000;;;
2013;car sharing;Station Based;Stalli di sosta;80;;;
2014;bike sharing;Station Based;Numero di abbonati;28878;;;
2014;bike sharing;Station Based;Numero di biciclette;3650;;;
2014;bike sharing;Station Based;Numero di prelievi totale;2421802;;;
2014;bike sharing;Station Based;Stazioni attive;205;;;
2014;car sharing;Free Floating;Autovetture totale;1579;;;
2014;car sharing;Free Floating;Noleggi medi giornalieri;7017;;;
2014;car sharing;Free Floating;Numero di abbonati;247527;;;
2014;car sharing;Station Based;Aree di sosta;74;;;
2014;car sharing;Station Based;Autovetture elettriche;2;;;
2014;car sharing;Station Based;Autovetture totale;121;;;
2014;car sharing;Station Based;Numero di abbonati;5000;;;
2014;car sharing;Station Based;Stalli di sosta;74;;;
2015;bike sharing;Station Based;Numero di abbonati;43736;;;
2015;bike sharing;Station Based;Numero di biciclette;4650;;;
2015;bike sharing;Station Based;Numero di prelievi totale;3127352;;;
2015;bike sharing;Station Based;Stazioni attive;269;;;
2015;car sharing;Free Floating;Autovetture elettriche;244;;;
2015;car sharing;Free Floating;Autovetture totale;1774;;;
2015;car sharing;Free Floating;Noleggi medi giornalieri;9256;;;
2015;car sharing;Free Floating;Numero di abbonati;359059;;;
2015;car sharing;Station Based;Aree di sosta;74;;;
2015;car sharing;Station Based;Autovetture elettriche;5;;;
2015;car sharing;Station Based;Autovetture totale;82;;;
2015;car sharing;Station Based;Numero di abbonati;5000;;;
2015;car sharing;Station Based;Stalli di sosta;74;;;
2015;scooter sharing;Free Floating;Noleggi medi giornalieri;203;15 luglio-31 dicembre;;
2015;scooter sharing;Free Floating;Numero di abbonati;20224;;;
2015;scooter sharing;Free Floating;scooter totale;150;;;
2016;bike sharing;Station Based;Numero di abbonati;54251;;;
2016;bike sharing;Station Based;Numero di biciclette;4650;;;
2016;bike sharing;Station Based;Numero di prelievi totale;4080651;;;
2016;bike sharing;Station Based;Stazioni attive;280;;;
2016;car sharing;Free Floating;Autovetture elettriche;711;;;
2016;car sharing;Free Floating;Autovetture totale;2699;;;
2016;car sharing;Free Floating;Noleggi medi giornalieri;11310;;;
2016;car sharing;Free Floating;Numero di abbonati;527624;;;
2016;car sharing;Free Floating;Numero di punti di riconsegna;0;;;
2016;car sharing;Free Floating;Stalli di sosta;0;;;
2016;car sharing;Station Based;Autovetture elettriche;5;;;
2016;car sharing;Station Based;Autovetture totale;122;;;
2016;car sharing;Station Based;Numero di abbonati;4386;;;
2016;car sharing;Station Based;Stalli di sosta;74;;;
2016;scooter sharing;Free Floating;Noleggi medi giornalieri;182;;;
2016;scooter sharing;Free Floating;Numero di abbonati;23543;;;
2016;scooter sharing;Free Floating;scooter totale;150;;;
2017;bike sharing;Free Floating;Numero di abbonati;310448;;;
2017;bike sharing;Free Floating;Numero di biciclette;12000;;;
2017;bike sharing;Free Floating;Numero di prelievi;1800000;;;
2017;bike sharing;Station Based;Numero di abbonati;57021;;;
2017;bike sharing;Station Based;Numero di biciclette;4650;;;
2017;bike sharing;Station Based;Numero di prelievi totale;4285017;;;
2017;bike sharing;Station Based;Stazioni attive;280;;;
2017;car sharing;Free Floating;Autovetture elettriche;781;;;
2017;car sharing;Free Floating;Autovetture totale;3143;;;
2017;car sharing;Free Floating;Noleggi medi giornalieri;14435;;;
2017;car sharing;Free Floating;Numero di abbonati;675097;;;
2017;car sharing;Free Floating;Numero di punti di riconsegna;0;;;
2017;car sharing;Free Floating;Stalli di sosta;0;;;
2017;car sharing;Station Based;Aree di sosta;100;;;
2017;car sharing;Station Based;Autovetture totale;147;;;
2017;car sharing;Station Based;Numero di abbonati;16490;;;
2017;car sharing;Station Based;Stalli di sosta;151;;;
2017;scooter sharing;Free Floating;Noleggi medi giornalieri;37;Servizio non attivo in alcuni mesi;;
2017;scooter sharing;Free Floating;Numero di abbonati;5766;;;
2017;scooter sharing;Free Floating;scooter elettrici;250;;;
2017;scooter sharing;Free Floating;Scooter totale;250;;;
2018;bike sharing;Free Floating;Numero di abbonati;439756;;;
2018;bike sharing;Free Floating;Numero di biciclette;12000;;;
2018;bike sharing;Free Floating;Numero di prelievi;3134325;;;
2018;bike sharing;Free Floating+Station Based;Percorrenze annue;10048493;Dato stimato sulla base delle informazioni disponibili;;
2018;bike sharing;Station Based;Numero di abbonati;46926;;;
2018;bike sharing;Station Based;Numero di biciclette;4800;;;
2018;bike sharing;Station Based;Numero di prelievi totale;3485853;;;
2018;bike sharing;Station Based;Stazioni attive;291;;;
2018;car sharing;Free Floating;Autovetture elettriche;668;;;
2018;car sharing;Free Floating;Autovetture totale;3094;;;
2018;car sharing;Free Floating;Noleggi medi giornalieri;16851;;;
2018;car sharing;Free Floating;Numero di abbonati;881168;;;
2018;car sharing;Free Floating;Numero di punti di riconsegna;0;;;
2018;car sharing;Free Floating;Stalli di sosta;0;;;
2018;car sharing;Free Floating+Station Based;Percorrenze annue;43887348;Dato stimato sulla base delle informazioni disponibili;;
2018;car sharing;Station Based;Aree di sosta;100;;;
2018;car sharing;Station Based;Autovetture elettriche;7;;;
2018;car sharing;Station Based;Autovetture totale;148;;;
2018;car sharing;Station Based;Noleggi medi giornalieri;108;;;
2018;car sharing;Station Based;Numero di abbonati;36816;;;
2018;car sharing;Station Based;Stalli di sosta;151;;;
2018;scooter sharing;Free Floating;Noleggi medi giornalieri;928;Dato parziale;;
2018;scooter sharing;Free Floating;Numero di abbonati;60502;Dato parziale;;
2018;scooter sharing;Free floating;Percorrenze annue;1016160;Dato stimato sulla base delle informazioni disponibili;;
2018;scooter sharing;Free Floating;scooter elettrici;1631;;;
2018;scooter sharing;Free Floating;Scooter totale;1691;;;
2019;bike sharing;Free Floating;Numero di biciclette;8000;;;
2019;bike sharing;Free Floating;Numero di prelievi;2625818;;;
2019;bike sharing;Free Floating+Station Based;Percorrenze annue;8555533;Dato stimato sulla base delle informazioni disponibili;;
2019;bike sharing;Station Based;Numero di abbonati;42103;;;
2019;bike sharing;Station Based;Numero di biciclette;5430;;;
2019;bike sharing;Station Based;Numero di prelievi totale;2841995;;;
2019;bike sharing;Station Based;Stazioni attive;307;;;
2019;car sharing;Free Floating;Autovetture elettriche;488;;;
2019;car sharing;Free Floating;Autovetture totale;3115;;;
2019;car sharing;Free Floating;Noleggi medi giornalieri;16359;;;
2019;car sharing;Free Floating+Station Based;Percorrenze annue;42091070;Dato stimato sulla base delle informazioni disponibili;;
2019;car sharing;Station Based;Autovetture elettriche;0;;;
2019;car sharing;Station Based;autovetture totale;170;;;
2019;car sharing;Station Based;Noleggi medi giornalieri;115;;;
2019;car sharing;Station Based;Numero di abbonati;64296;;;
2019;scooter sharing;Free Floating;Noleggi medi giornalieri;5236;;;
2019;scooter sharing;Free floating;Percorrenze annue;3822280;Dato stimato sulla base delle informazioni disponibili;;
2019;scooter sharing;Free Floating;scooter elettrici;2301;;;
2019;scooter sharing;Free Floating;Scooter totale;2361;;;
2020;bike sharing;Free Floating;Numero di abbonati;73127;;;
2020;bike sharing;Free Floating;Numero di biciclette elettriche;2452;;;
2020;bike sharing;Free Floating;Numero di biciclette totale;10000;;;
2020;bike sharing;Free Floating;Numero di prelievi;852707;;;
2020;bike sharing;Free Floating+Station Based;Percorrenze annue;4352111;Dato stimato sulla base delle informazioni disponibili;;
2020;bike sharing;Station Based;Numero di abbonati;40650;;;
2020;bike sharing;Station Based;Numero di biciclette elettriche;1150;;;
2020;bike sharing;Station Based;Numero di biciclette totale;5430;;;
2020;bike sharing;Station Based;Numero di prelievi totale;1666167;;;
2020;car sharing;Free Floating;Autovetture elettriche;0;;;
2020;car sharing;Free Floating;Autovetture totale;2260;;;
2020;car sharing;Free Floating;Noleggi medi giornalieri;8329;;;
2020;car sharing;Free Floating+Station Based;Percorrenze annue;25048432;Dato stimato sulla base delle informazioni disponibili;;
2020;car sharing;Station Based;Autovetture elettriche;0;;;
2020;car sharing;Station Based;Autovetture totale;155;;;
2020;car sharing;Station Based;Noleggi medi giornalieri;89;;;
2020;monopattini;Free Floating;Noleggi medi giornalieri;4286;Dato a partire dal 2 febbraio 2020;;
2020;monopattini;Free Floating;Numero di abbonati;282707;;;
2020;monopattini;Free Floating;Numero di monopattini autorizzati;3750;;;
2020;monopattini;Free floating;Percorrenze annue;2840144;Dato stimato sulla base delle informazioni disponibili;;
2020;scooter sharing;Free Floating;Noleggi medi giornalieri;3016;;;
2020;scooter sharing;Free Floating;Numero di abbonati;290000;dato stimato;;
2020;scooter sharing;Free floating;Percorrenze annue;3311568;Dato stimato sulla base delle informazioni disponibili;;
2020;scooter sharing;Free Floating;scooter elettrici;4532;;;
2020;scooter sharing;Free Floating;Scooter totale;4532;;;
2021;bike sharing;Free Floating;Numero di biciclette elettriche;5696;;;
2021;bike sharing;Free Floating;Numero di biciclette totale;11500;;;
2021;bike sharing;Free Floating;Numero di prelievi;1721070;;;
2021;bike sharing;Free Floating+Station Based;Percorrenze annue;6999001;Dato stimato sulla base delle informazioni disponibili;;
2021;bike sharing;Station Based;Numero di abbonati;32784;;;
2021;bike sharing;Station Based;Numero di biciclette elettriche;1150;;;
2021;bike sharing;Station Based;Numero di biciclette totale;5430;;;
2021;bike sharing;Station Based;Numero di prelievi totale;2377568;;;
2021;car sharing;Free Floating;Autovetture elettriche;397;;;
2021;car sharing;Free Floating;Autovetture totale;2118;;;
2021;car sharing;Free Floating;Noleggi medi giornalieri;8075;;;
2021;car sharing;Free Floating+Station Based;Percorrenze annue;25936900;Dato stimato sulla base delle informazioni disponibili;;
2021;car sharing;Station Based;Autovetture elettriche;0;;;
2021;car sharing;Station Based;Autovetture totale;100;;;
2021;car sharing;Station Based;Noleggi medi giornalieri;47;;;
2021;monopattini;Free Floating;Noleggi medi giornalieri;6537;;;
2021;monopattini;Free Floating;Numero di monopattini autorizzati;5250;;;
2021;monopattini;Free floating;Percorrenze annue;3579007;Dato stimato sulla base delle informazioni disponibili;;
2021;scooter sharing;Free Floating;Noleggi medi giornalieri;4537;;;
2021;scooter sharing;Free floating;Percorrenze annue;4968015;Dato stimato sulla base delle informazioni disponibili;;
2021;scooter sharing;Free Floating;scooter elettrici;4407;;;
2021;scooter sharing;Free Floating;Scooter totale;4407;;;
2022;bike sharing;Free Floating;Numero di biciclette elettriche;8500;;;
2022;bike sharing;Free Floating;Numero di biciclette totale;12500;;;
2022;bike sharing;Free Floating;Numero di prelievi;2722911;;;
2022;bike sharing;Free Floating+Station Based;Percorrenze annue;11841405;Dato stimato sulla base delle informazioni disponibili;;
2022;bike sharing;Station Based;Numero di abbonati;33504;;;
2022;bike sharing;Station Based;Numero di biciclette elettriche;1150;;;
2022;bike sharing;Station Based;Numero di biciclette totale;5430;;;
2022;bike sharing;Station Based;Numero di prelievi bike;1553367;;;
2022;bike sharing;Station Based;Numero di prelievi ebike;1107857;;;
2022;bike sharing;Station Based;Numero di prelievi ebike with child seat;102748;;;
2022;bike sharing;Station Based;Numero di prelievi totale;2763972;;;
2022;car sharing;Free Floating;Autovetture elettriche;889;;;
2022;car sharing;Free Floating;Autovetture totale;2631;;;
2022;car sharing;Free Floating;Noleggi medi giornalieri;8591;;;
2022;car sharing;Free Floating+Station Based;Percorrenze annue;39578994;Dato stimato sulla base delle informazioni disponibili;;
2022;car sharing;Station Based;Autovetture elettriche;100;;;
2022;car sharing;Station Based;Autovetture totale;100;;;
2022;car sharing;Station Based;Noleggi medi giornalieri;15;Servizio non attivo in alcuni mesi;;
2022;monopattini;Free Floating;Noleggi medi giornalieri;8030;;;
2022;monopattini;Free Floating;Numero di monopattini autorizzati;5250;;;
2022;monopattini;Free floating;Percorrenze annue;7327375;Dato stimato sulla base delle informazioni disponibili;;
2022;scooter sharing;Free Floating;Noleggi medi giornalieri;7008;;;
2022;scooter sharing;Free floating;Percorrenze annue;10231680;Dato stimato sulla base delle informazioni disponibili;;
2022;scooter sharing;Free Floating;scooter elettrici;4370;;;
2022;scooter sharing;Free Floating;Scooter totale;4370;;;
2023;bike sharing;Free Floating;Numero di biciclette elettriche;9500;;;
2023;bike sharing;Free Floating;Numero di biciclette totale;9500;;;
2023;bike sharing;Free Floating;Numero di prelievi;2833306;;;
2023;bike sharing;Free Floating+Station Based;Percorrenze annue;11167578;Dato stimato sulla base delle informazioni disponibili;;
2023;bike sharing;Station Based;Numero di abbonati;33276;;;
2023;bike sharing;Station Based;Numero di biciclette elettriche;1150;;;
2023;bike sharing;Station Based;Numero di biciclette totale;5430;;;
2023;bike sharing;Station Based;Numero di prelievi bike;1475219;;;
2023;bike sharing;Station Based;Numero di prelievi ebike;1171525;;;
2023;bike sharing;Station Based;Numero di prelievi ebike with child seat;103739;;;
2023;bike sharing;Station Based;Numero di prelievi totale;2750483;;;
2023;car sharing;Free Floating;Autovetture elettriche;1127;;;
2023;car sharing;Free Floating;Autovetture Ibride;1107;;;
2023;car sharing;Free Floating;Autovetture totale;3523;;;
2023;car sharing;Free Floating;Noleggi medi giornalieri;9310;;;
2023;car sharing;Free Floating+Station Based;Percorrenze annue;49671609;Dato stimato sulla base delle informazioni disponibili;;
2023;car sharing;Station Based;Autovetture elettriche;100;;;
2023;car sharing;Station Based;Autovetture totale;100;;;
2023;car sharing;Station Based;Noleggi medi giornalieri;11;;;
2023;monopattini;Free Floating;Noleggi medi giornalieri;9053;;;
2023;monopattini;Free Floating;Numero di monopattini autorizzati;5250;;;
2023;monopattini;Free floating;Percorrenze annue;6608690;Dato stimato sulla base delle informazioni disponibili;;
2023;scooter sharing;Free Floating;Noleggi medi giornalieri;7762;;;
2023;scooter sharing;Free floating;Percorrenze annue;14165650;Dato stimato sulla base delle informazioni disponibili;;
2023;scooter sharing;Free Floating;scooter elettrici;2994;;;
2023;scooter sharing;Free Floating;Scooter totale;2994;;;
2024;bike sharing;Free Floating;Numero di biciclette elettriche;9200;;;
2024;bike sharing;Free Floating;Numero di biciclette totale;9200;;;
2024;bike sharing;Free Floating;Numero di prelievi;2996221;;;
2024;bike sharing;Free Floating+Station Based;Percorrenze annue;11490970;Dato stimato sulla base delle informazioni disponibili;;
2024;bike sharing;Station Based;Numero di abbonati;30514;;;
2024;bike sharing;Station Based;Numero di biciclette elettriche;1150;;;
2024;bike sharing;Station Based;Numero di biciclette totale;5430;;;
2024;bike sharing;Station Based;Numero di prelievi bike;1490498;;;
2024;bike sharing;Station Based;Numero di prelievi ebike;1102491;;;
2024;bike sharing;Station Based;Numero di prelievi ebike with child seat;85949;;;
2024;bike sharing;Station Based;Numero di prelievi totale;2678938;;;
2024;car sharing;Free Floating;Autovetture elettriche;1175;;;
2024;car sharing;Free Floating;Autovetture Ibride;1028;;;
2024;car sharing;Free Floating;Autovetture totale;3220;;;
2024;car sharing;Free Floating;Noleggi medi giornalieri;8179;;;
2024;car sharing;Free Floating;Percorrenze annue;39814095;Dato stimato sulla base delle informazioni disponibili;;
2024;monopattini;Free Floating;Noleggi medi giornalieri;6714;;;
2024;monopattini;Free Floating;Numero di monopattini autorizzati;6000;;;
2024;monopattini;Free floating;Percorrenze annue;4152877;Dato stimato sulla base delle informazioni disponibili;;
2024;scooter sharing;Free Floating;Noleggi medi giornalieri;4288;;;
2024;scooter sharing;Free floating;Percorrenze annue;3546862;Dato stimato sulla base delle informazioni disponibili;;
2024;scooter sharing;Free Floating;scooter elettrici;1794;;;
2024;scooter sharing;Free Floating;Scooter totale;1794;;;
